method,frame,update_ms,query_ms,live,phys,rss_kb_end,rss_kb_peak
forest,0,14.6111,1.9321,124058,124668,719072,719136
forest,1,26.1764,2.1765,247923,249273,719072,719136
forest,2,41.5867,2.3343,371552,373751,719072,719136
forest,3,27.4437,2.3947,494857,497918,719072,719136
forest,4,67.9181,2.9206,617787,621887,719072,719136
forest,5,25.8635,2.0907,740581,745811,719072,719136
forest,6,37.9576,1.8910,862493,869184,719072,719136
forest,7,25.8075,2.2069,983649,991949,719072,719136
forest,8,139.0163,3.1626,1104091,1114072,719072,719136
forest,9,25.4077,2.6028,1223641,1235429,719072,719136
forest,10,36.8596,2.2874,1342883,1356447,719072,719136
forest,11,24.4008,2.2142,1461997,1477392,719072,719136
forest,12,68.1232,1.9391,1580616,1597895,719072,719136
forest,13,24.3507,2.7421,1698807,1718190,719072,719136
forest,14,38.8728,2.0826,1816268,1838596,719072,719136
forest,15,21.2775,2.8891,1933858,1959619,719072,719136
forest,16,33.6127,2.7483,2051998,2081461,719072,719136
forest,17,315.7731,2.2474,2171386,2204568,719072,719136
forest,18,33.4380,2.4069,2291538,2328508,719072,719136
forest,19,47.2082,3.0143,2411466,2452809,719072,719136
forest,20,33.6179,2.9392,2531031,2577362,719072,719136
forest,21,76.8074,2.8085,2649930,2702018,719072,719136
forest,22,31.9226,2.2201,2768326,2826662,719072,719136
forest,23,46.4534,2.0717,2885487,2951188,719072,719136
forest,24,33.0127,3.6004,3001182,3075708,719072,719136
forest,25,140.5049,2.8276,3115120,3200308,719072,719136
forest,26,33.2012,3.5509,3227845,3324858,719072,719136
forest,27,46.6306,2.5982,3339027,3449100,719072,719136
forest,28,32.7810,2.6729,3449266,3573263,719072,719136
forest,29,77.1872,2.7409,3558539,3697281,719072,719136
forest,30,31.7578,3.0784,3666904,3821415,719072,719136
forest,31,46.9780,2.8874,3774488,3945555,719072,719136
forest,32,35.0616,3.2599,3880509,4069487,719072,719136
forest,33,29.6893,4.3947,3984441,4193313,719072,719136
forest,34,695.2167,2.9260,4086932,4316815,719072,719136
forest,35,50.1471,3.8696,4186363,4439821,719072,719136
forest,36,54.7107,5.3439,4279688,4562570,719072,719136
forest,37,41.3532,5.2093,4365193,4684949,719072,719136
forest,38,90.8193,3.8270,4442949,4806687,719072,719136
forest,39,38.8385,3.3115,4512388,4928184,719072,719136
forest,40,53.5253,2.4517,4576224,5049332,719072,719136
forest,41,38.1199,2.9096,4633363,5169691,719072,719136
forest,42,152.5578,3.7197,4680877,5289145,719072,719136
forest,43,37.2227,8.2328,4716100,5407544,719072,719136
forest,44,63.3765,3.7171,4739581,5524425,719072,719136
forest,45,33.7366,4.0297,4754752,5638921,719072,719136
forest,46,30.8464,3.7183,4768033,5752060,719072,719136
forest,47,89.4364,2.6723,4776820,5865870,719072,719136
forest,48,44.7084,5.6846,4787327,5981844,719072,719136
forest,49,58.5870,4.4314,4799240,6099000,719072,719136
forest,50,41.9488,8.1764,4813653,6217636,719072,719136
forest,51,339.8218,4.7109,4835417,6337466,719072,719136
forest,52,38.7322,6.4564,4856525,6458262,719072,719136
forest,53,52.0683,14.0678,4872964,6580153,719072,719136
forest,54,38.7725,14.2308,4885791,6702792,719072,719136
forest,55,84.7938,3.9344,4892385,6826135,719072,719136
forest,56,40.0108,20.6073,4894341,6949367,719072,719136
forest,57,37.0158,18.5079,4895005,7072497,719072,719136
forest,58,63.8256,6.7432,4893045,7195426,719072,719136
forest,59,49.0405,14.7932,4890477,7318129,719072,719136
forest,60,162.4624,2.3415,4892759,7440698,719072,719136
forest,61,47.9552,2.8718,4889391,7562859,719072,719136
forest,62,60.5941,2.2247,4883582,7684591,719072,719136
forest,63,47.2647,28.3872,4872083,7805287,719072,719136
forest,64,143.4375,2.9417,4860885,7926225,719072,719136
forest,65,39.8384,2.8970,4843349,8047276,719072,719136
forest,66,52.9699,2.5425,4832742,8168475,719072,719136
forest,67,37.1869,3.6333,4824309,8289591,719072,719136
forest,68,1556.7624,1.9967,4824793,8410672,719072,719136
forest,69,36.3891,2.2841,4833508,8531769,719072,719136
forest,70,48.9822,1.6169,4837326,8652562,719072,719136
forest,71,33.4354,3.1145,4839058,8773054,719072,719136
forest,72,45.4240,2.8963,4837318,8893336,719072,719136
forest,73,87.8887,2.0848,4838802,9013372,719072,719136
forest,74,41.7964,2.8809,4837232,9133119,719072,719136
forest,75,57.0209,2.7252,4837757,9252172,719072,719136
forest,76,41.7081,5.4107,4836585,9370914,719072,719136
forest,77,155.2691,2.2918,4832275,9489088,719072,719136
forest,78,40.3740,2.4280,4827745,9606566,719072,719136
forest,79,52.8398,2.1556,4818272,9724011,719072,719136
rebuild,0,68.5340,0.1746,124058,124058,468200,468200
rebuild,1,22.7438,0.2409,247923,247923,468200,468200
rebuild,2,35.1989,0.3063,371552,371552,468200,468200
rebuild,3,47.4432,0.3707,494857,494857,468200,468200
rebuild,4,61.4522,0.4089,617787,617787,468200,468200
rebuild,5,73.9153,0.4210,740581,740581,468200,468200
rebuild,6,87.3180,0.4342,862493,862493,468200,468200
rebuild,7,100.2659,0.4897,983649,983649,468200,468200
rebuild,8,115.1985,0.4948,1104091,1104091,468200,468200
rebuild,9,127.2688,0.5046,1223641,1223641,468200,468200
rebuild,10,141.4007,0.4895,1342883,1342883,468200,468200
rebuild,11,155.6937,0.5029,1461997,1461997,468200,468200
rebuild,12,169.1202,0.8127,1580616,1580616,468200,468200
rebuild,13,187.5725,0.5229,1698807,1698807,468200,468200
rebuild,14,199.1272,0.5404,1816268,1816268,468200,468200
rebuild,15,213.0795,0.5460,1933858,1933858,468200,468200
rebuild,16,227.1040,0.5364,2051998,2051998,468200,468200
rebuild,17,245.2761,0.5662,2171386,2171386,468200,468200
rebuild,18,257.2335,0.5598,2291538,2291538,468200,468200
rebuild,19,273.8382,0.5920,2411466,2411466,468200,468200
rebuild,20,286.4875,0.6000,2531031,2531031,468200,468200
rebuild,21,303.1089,0.5779,2649930,2649930,468200,468200
rebuild,22,317.9290,0.5822,2768326,2768326,468200,468200
rebuild,23,336.6738,0.5559,2885487,2885487,468200,468200
rebuild,24,348.2508,0.5719,3001182,3001182,468200,468200
rebuild,25,359.8074,0.5616,3115120,3115120,468200,468200
rebuild,26,375.2962,0.5780,3227845,3227845,468200,468200
rebuild,27,391.4096,0.5677,3339027,3339027,468200,468200
rebuild,28,405.0869,0.5771,3449266,3449266,468200,468200
rebuild,29,418.7053,0.5959,3558539,3558539,468200,468200
rebuild,30,440.0513,0.5855,3666904,3666904,468200,468200
rebuild,31,447.3356,0.5956,3774488,3774488,468200,468200
rebuild,32,461.7518,0.5813,3880509,3880509,468200,468200
rebuild,33,481.7182,0.6121,3984441,3984441,468200,468200
rebuild,34,492.5799,0.6068,4086932,4086932,468200,468200
rebuild,35,514.3653,0.6525,4186363,4186363,468200,468200
rebuild,36,512.9570,0.5710,4279688,4279688,468200,468200
rebuild,37,525.4327,0.6002,4365193,4365193,468200,468200
rebuild,38,538.8567,0.5962,4442949,4442949,468200,468200
rebuild,39,546.5043,0.5917,4512388,4512388,468200,468200
rebuild,40,558.5834,0.5975,4576224,4576224,468200,468200
rebuild,41,568.7008,0.5908,4633363,4633363,468200,468200
rebuild,42,574.5853,0.5887,4680877,4680877,468200,468200
rebuild,43,581.0798,0.6252,4716100,4716100,468200,468200
rebuild,44,583.9557,0.6688,4739581,4739581,468200,468200
rebuild,45,586.5833,0.5910,4754752,4754752,468200,468200
rebuild,46,604.1286,0.6073,4768033,4768033,468200,468200
rebuild,47,590.9276,0.5733,4776820,4776820,468200,468200
rebuild,48,591.4379,0.5726,4787327,4787327,468200,468200
rebuild,49,591.1982,0.5557,4799240,4799240,468200,468200
rebuild,50,598.3317,0.5919,4813653,4813653,468200,468200
rebuild,51,597.3853,0.5575,4835417,4835417,468200,468200
rebuild,52,609.6751,0.5912,4856525,4856525,468200,468200
