method,frame,update_ms,query_ms,live,phys,rss_kb_end,rss_kb_peak
inc_ablate_noboxtrim,0,25.2493,0.4512,124058,124085,883396,952940
inc_ablate_noboxtrim,1,54.0799,0.6938,247923,247953,883396,952940
inc_ablate_noboxtrim,2,89.1588,0.9033,371552,371582,883396,952940
inc_ablate_noboxtrim,3,42.1739,1.0292,494857,494914,883396,952940
inc_ablate_noboxtrim,4,57.6550,1.1637,617787,617854,883396,952940
inc_ablate_noboxtrim,5,66.6468,1.2033,740581,740642,883396,952940
inc_ablate_noboxtrim,6,69.2594,1.2677,862493,862588,883396,952940
inc_ablate_noboxtrim,7,74.6327,1.3585,983649,983728,883396,952940
inc_ablate_noboxtrim,8,82.4091,1.3624,1104091,1104238,883396,952940
inc_ablate_noboxtrim,9,74.3095,1.4571,1223641,1223754,883396,952940
inc_ablate_noboxtrim,10,76.1438,1.4041,1342883,1342964,883396,952940
inc_ablate_noboxtrim,11,79.2563,1.4973,1461997,1462087,883396,952940
inc_ablate_noboxtrim,12,76.1768,1.4543,1580616,1580711,883396,952940
inc_ablate_noboxtrim,13,80.7274,1.5547,1698807,1698915,883396,952940
inc_ablate_noboxtrim,14,115.2548,1.5751,1816268,1816389,883396,952940
inc_ablate_noboxtrim,15,81.2359,1.5325,1933858,1934052,883396,952940
inc_ablate_noboxtrim,16,102.8462,1.6220,2051998,2052159,883396,952940
inc_ablate_noboxtrim,17,103.4520,1.7121,2171386,2171581,883396,952940
inc_ablate_noboxtrim,18,649.8651,1.6753,2291538,2291775,883396,952940
inc_ablate_noboxtrim,19,78.1841,1.9408,2411466,2411685,883396,952940
inc_ablate_noboxtrim,20,84.8525,1.9154,2531031,2531258,883396,952940
inc_ablate_noboxtrim,21,94.5054,1.9684,2649930,2650181,883396,952940
inc_ablate_noboxtrim,22,103.1403,1.9713,2768326,2768536,883396,952940
inc_ablate_noboxtrim,23,111.0431,1.9796,2885487,2885912,883396,952940
inc_ablate_noboxtrim,24,1081.4210,1.8438,3001182,3001526,883396,952940
inc_ablate_noboxtrim,25,120.5981,1.8643,3115120,3115475,883396,952940
inc_ablate_noboxtrim,26,136.3123,2.0620,3227845,3228399,883396,952940
inc_ablate_noboxtrim,27,163.6387,1.9699,3339027,3339477,883396,952940
inc_ablate_noboxtrim,28,192.6766,1.8819,3449266,3449771,883396,952940
inc_ablate_noboxtrim,29,215.4376,1.9903,3558539,3559063,883396,952940
inc_ablate_noboxtrim,30,194.8348,1.8308,3666904,3667470,883396,952940
inc_ablate_noboxtrim,31,268.1163,2.0061,3774488,3775056,883396,952940
inc_ablate_noboxtrim,32,262.6335,2.0163,3880509,3881097,883396,952940
inc_ablate_noboxtrim,33,333.1794,2.0695,3984441,3985017,883396,952940
inc_ablate_noboxtrim,34,386.1867,1.9798,4086932,4087515,883396,952940
inc_ablate_noboxtrim,35,411.3249,1.9198,4186363,4187003,883396,952940
inc_ablate_noboxtrim,36,622.0552,1.9352,4279688,4280511,883396,952940
inc_ablate_noboxtrim,37,960.6186,1.9184,4365193,4366100,883396,952940
inc_ablate_noboxtrim,38,1230.7229,1.9068,4442949,4443870,883396,952940
inc_ablate_noboxtrim,39,1693.5121,1.9453,4512388,4513426,883396,952940
inc_ablate_noboxtrim,40,1998.2711,2.0171,4576224,4577223,883396,952940
inc_ablate_noboxtrim,41,2354.3431,1.9591,4633363,4634430,883396,952940
inc_ablate_noboxtrim,42,3847.0428,2.1436,4680877,4682026,883396,952940
inc_ablate_noboxtrim,43,4930.2970,2.3457,4716100,4717214,883396,952940
inc_ablate_noboxtrim,44,7745.9155,2.2894,4739581,4741090,883396,952940
inc_ablate_noboxtrim,45,8558.5125,2.2590,4754752,4755941,883396,952940
