method,frame,update_ms,query_ms,live,phys,rss_kb_end,rss_kb_peak
inc_b85_d50,0,25.4012,1.3379,124058,124600,4726780,4726844
inc_b85_d50,1,52.0488,0.6524,247923,248535,4726780,4726844
inc_b85_d50,2,94.5765,0.8344,371552,372205,4726780,4726844
inc_b85_d50,3,49.8811,1.0894,494857,496166,4726780,4726844
inc_b85_d50,4,64.1625,1.2152,617787,619691,4726780,4726844
inc_b85_d50,5,75.0787,1.1905,740581,743282,4726780,4726844
inc_b85_d50,6,74.0295,1.2351,862493,865955,4726780,4726844
inc_b85_d50,7,79.9295,1.2856,983649,986951,4726780,4726844
inc_b85_d50,8,85.8771,1.3074,1104091,1108163,4726780,4726844
inc_b85_d50,9,77.8019,1.3544,1223641,1225313,4726780,4726844
inc_b85_d50,10,81.8178,1.3094,1342883,1346047,4726780,4726844
inc_b85_d50,11,81.1624,1.3783,1461997,1464555,4726780,4726844
inc_b85_d50,12,77.1044,1.3286,1580616,1584196,4726780,4726844
inc_b85_d50,13,79.1737,1.4807,1698807,1703831,4726780,4726844
inc_b85_d50,14,116.3337,1.3714,1816268,1823380,4726780,4726844
inc_b85_d50,15,76.6906,1.4558,1933858,1943360,4726780,4726844
inc_b85_d50,16,97.0470,1.4677,2051998,2064004,4726780,4726844
inc_b85_d50,17,96.5697,1.5165,2171386,2184365,4726780,4726844
inc_b85_d50,18,676.2218,1.2663,2291538,2307906,4726780,4726844
inc_b85_d50,19,58.0359,1.5466,2411466,2428244,4726780,4726844
inc_b85_d50,20,66.2817,1.7372,2531031,2552475,4726780,4726844
inc_b85_d50,21,80.3381,1.5940,2649930,2661703,4726780,4726844
inc_b85_d50,22,77.0051,1.6482,2768326,2785548,4726780,4726844
inc_b85_d50,23,81.3121,1.6637,2885487,2909533,4726780,4726844
inc_b85_d50,24,96.1741,1.6804,3001182,3024860,4726780,4726844
inc_b85_d50,25,1108.4920,1.4479,3115120,3123729,4726780,4726844
inc_b85_d50,26,59.9899,1.5619,3227845,3246814,4726780,4726844
inc_b85_d50,27,72.3785,1.5907,3339027,3368021,4726780,4726844
inc_b85_d50,28,75.6412,1.5740,3449266,3491467,4726780,4726844
inc_b85_d50,29,81.9679,1.5685,3558539,3603027,4726780,4726844
inc_b85_d50,30,79.3677,1.6279,3666904,3708964,4726780,4726844
inc_b85_d50,31,98.0201,2.6419,3774488,3832320,4726780,4726844
inc_b85_d50,32,83.7023,1.6613,3880509,3952427,4726780,4726844
inc_b85_d50,33,75.6070,1.7090,3984441,4062015,4726780,4726844
inc_b85_d50,34,108.0712,1.6079,4086932,4178483,4726780,4726844
inc_b85_d50,35,108.2604,1.6660,4186363,4292346,4726780,4726844
inc_b85_d50,36,86.8664,1.6837,4279688,4401459,4726780,4726844
inc_b85_d50,37,103.6016,3.1271,4365193,4504997,4726780,4726844
inc_b85_d50,38,118.5363,1.5420,4442949,4626093,4726780,4726844
inc_b85_d50,39,82.2640,1.6317,4512388,4731797,4726780,4726844
inc_b85_d50,40,93.2683,1.6772,4576224,4787661,4726780,4726844
inc_b85_d50,41,143.7156,1.6782,4633363,4874269,4726780,4726844
inc_b85_d50,42,453.0245,1.9239,4680877,4969445,4726780,4726844
inc_b85_d50,43,85.4450,1.8472,4716100,5032074,4726780,4726844
inc_b85_d50,44,107.2027,1.9206,4739581,5100616,4726780,4726844
inc_b85_d50,45,211.7233,1.6642,4754752,5161416,4726780,4726844
inc_b85_d50,46,213.6695,1.7283,4768033,4815179,4726780,4726844
inc_b85_d50,47,1768.2522,1.4684,4776820,4881599,4726780,4726844
inc_b85_d50,48,61.9329,1.5371,4787327,4997014,4726780,4726844
inc_b85_d50,49,73.9364,1.6256,4799240,5113751,4726780,4726844
inc_b85_d50,50,69.7556,1.6060,4813653,5231466,4726780,4726844
inc_b85_d50,51,80.8354,1.4933,4835417,5350618,4726780,4726844
inc_b85_d50,52,80.4251,1.5752,4856525,5470878,4726780,4726844
inc_b85_d50,53,79.4628,1.6605,4872964,5590628,4726780,4726844
inc_b85_d50,54,83.6143,1.6699,4885791,5712904,4726780,4726844
inc_b85_d50,55,81.2780,1.5508,4892385,5835866,4726780,4726844
inc_b85_d50,56,81.1123,1.7549,4894341,5958601,4726780,4726844
inc_b85_d50,57,183.8887,1.7702,4895005,5784507,4726780,4726844
inc_b85_d50,58,269.0573,1.8010,4893045,5276436,4726780,4726844
inc_b85_d50,59,335.9404,1.6822,4890477,5398614,4726780,4726844
inc_b85_d50,60,77.4825,1.6070,4892759,5520889,4726780,4726844
inc_b85_d50,61,426.5761,1.6587,4889391,5642418,4726780,4726844
inc_b85_d50,62,108.0142,1.6472,4883582,5763208,4726780,4726844
inc_b85_d50,63,151.4965,2.2455,4872083,5574035,4726780,4726844
inc_b85_d50,64,917.0954,1.7264,4860885,5694517,4726780,4726844
inc_b85_d50,65,86.0919,2.2182,4843349,5769655,4726780,4726844
inc_b85_d50,66,105.8122,1.5279,4832742,5890283,4726780,4726844
inc_b85_d50,67,103.3886,1.5874,4824309,5939946,4726780,4726844
inc_b85_d50,68,138.1958,3.1374,4824793,6060190,4726780,4726844
inc_b85_d50,69,83.9400,1.5536,4833508,6180983,4726780,4726844
inc_b85_d50,70,96.8166,1.6646,4837326,6292759,4726780,4726844
inc_b85_d50,71,691.0698,1.5543,4839058,6387113,4726780,4726844
inc_b85_d50,72,75.1927,1.4985,4837318,6506113,4726780,4726844
inc_b85_d50,73,78.9382,1.5340,4838802,6625479,4726780,4726844
inc_b85_d50,74,79.1819,1.6448,4837232,6744037,4726780,4726844
inc_b85_d50,75,234.6918,1.8683,4837757,6262187,4726780,4726844
inc_b85_d50,76,912.0332,1.6417,4836585,6380533,4726780,4726844
inc_b85_d50,77,95.2134,1.7352,4832275,6498391,4726780,4726844
inc_b85_d50,78,80.3448,1.9087,4827745,6615312,4726780,4726844
inc_b85_d50,79,150.8837,1.7985,4818272,6471459,4726780,4726844
