method,frame,update_ms,query_ms,live,phys,rss_kb_end,rss_kb_peak
forest,0,15.7286,1.3535,124668,124668,2195800,2195864
forest,1,27.5382,1.6560,249273,249273,2195800,2195864
forest,2,41.9580,1.8660,373751,373751,2195800,2195864
forest,3,27.0227,1.8310,497918,497918,2195800,2195864
forest,4,73.4739,2.4254,621887,621887,2195800,2195864
forest,5,26.4908,1.7024,745811,745811,2195800,2195864
forest,6,40.7238,1.5698,869184,869184,2195800,2195864
forest,7,24.7829,1.7400,991949,991949,2195800,2195864
forest,8,144.1613,2.4318,1114071,1114072,2195800,2195864
forest,9,25.4554,1.9694,1235421,1235429,2195800,2195864
forest,10,39.1410,1.7155,1356425,1356447,2195800,2195864
forest,11,25.1799,1.6538,1477356,1477392,2195800,2195864
forest,12,70.9795,1.4355,1597775,1597895,2195800,2195864
forest,13,24.4731,2.0189,1717957,1718190,2195800,2195864
forest,14,38.5350,1.4126,1838248,1838596,2195800,2195864
forest,15,21.4036,2.0577,1959091,1959619,2195800,2195864
forest,16,33.7709,2.0343,2080723,2081461,2195800,2195864
forest,17,335.2856,1.6813,2203534,2204568,2195800,2195864
forest,18,35.1697,1.6373,2327080,2328508,2195800,2195864
forest,19,47.9875,2.1273,2450874,2452809,2195800,2195864
forest,20,33.0254,2.0919,2574874,2577362,2195800,2195864
forest,21,78.8826,2.0403,2698905,2702018,2195800,2195864
forest,22,31.8767,1.6799,2822850,2826662,2195800,2195864
forest,23,48.4194,1.6400,2946569,2951188,2195800,2195864
forest,24,32.2208,2.6301,3070140,3075708,2195800,2195864
forest,25,146.5386,1.9289,3193683,3200308,2195800,2195864
forest,26,31.9217,2.3669,3316909,3324858,2195800,2195864
forest,27,47.1173,1.7395,3439704,3449100,2195800,2195864
forest,28,31.4186,1.7520,3562317,3573263,2195800,2195864
forest,29,77.9981,1.9042,3684769,3697281,2195800,2195864
forest,30,30.6134,2.1501,3807275,3821415,2195800,2195864
forest,31,47.0756,1.9891,3929696,3945555,2195800,2195864
forest,32,32.0804,2.0729,4051773,4069487,2195800,2195864
forest,33,28.6767,2.9986,4173560,4193313,2195800,2195864
