seq,N,method,wrot,k,gap,build_ms,query_us,recall,top1
00,4541,brute,5,1,100,0.000,17.0023,1.000000,1.000000
00,4541,proposed,5,1,100,0.425,2.0642,1.000000,1.000000
00,4541,naive,5,1,100,0.428,1.1393,0.980401,0.980401
00,4541,naive_sc,5,1,100,0.468,1.3503,0.880643,0.880643
00,4541,rerank,5,1,100,0.297,2.4592,1.000000,1.000000
00,4541,brute,5,8,100,0.000,18.5572,1.000000,1.000000
00,4541,proposed,5,8,100,0.365,2.5952,1.000000,1.000000
00,4541,naive,5,8,100,0.407,1.6222,0.992485,0.980401
00,4541,naive_sc,5,8,100,0.786,1.8406,0.938147,0.880643
00,4541,rerank,5,8,100,0.307,2.7692,1.000000,1.000000
00,4541,brute,15,1,100,0.000,16.3258,1.000000,1.000000
00,4541,proposed,15,1,100,0.384,2.2925,1.000000,1.000000
00,4541,naive,15,1,100,0.424,1.2671,0.953314,0.953314
00,4541,naive_sc,15,1,100,0.379,1.5139,0.774939,0.774939
00,4541,rerank,15,1,100,0.294,2.5679,0.990311,0.990311
00,4541,brute,15,8,100,0.000,19.2952,1.000000,1.000000
00,4541,proposed,15,8,100,0.376,2.7237,1.000000,1.000000
00,4541,naive,15,8,100,0.391,1.6525,0.963747,0.953314
00,4541,naive_sc,15,8,100,0.384,1.8637,0.807531,0.774939
00,4541,rerank,15,8,100,0.254,2.5254,0.988769,0.990311
00,4541,brute,50,1,100,0.000,17.2649,1.000000,1.000000
00,4541,proposed,50,1,100,0.397,2.9524,1.000000,1.000000
00,4541,naive,50,1,100,0.454,1.8839,0.904647,0.904647
00,4541,naive_sc,50,1,100,0.439,1.9154,0.674081,0.674081
00,4541,rerank,50,1,100,0.247,2.9633,0.867871,0.867871
00,4541,brute,50,8,100,0.000,19.3960,1.000000,1.000000
00,4541,proposed,50,8,100,0.388,3.5657,1.000000,1.000000
00,4541,naive,50,8,100,0.406,2.0634,0.906078,0.904647
00,4541,naive_sc,50,8,100,0.391,2.4735,0.675374,0.674081
00,4541,rerank,50,8,100,0.284,2.7379,0.854465,0.867871
02,4661,brute,5,1,100,0.000,17.9573,1.000000,1.000000
02,4661,proposed,5,1,100,0.370,2.5375,1.000000,1.000000
02,4661,naive,5,1,100,0.367,1.5214,0.992705,0.992705
02,4661,naive_sc,5,1,100,0.365,1.5158,0.936709,0.936709
02,4661,rerank,5,1,100,0.248,2.9068,1.000000,1.000000
02,4661,brute,5,8,100,0.000,22.1737,1.000000,1.000000
02,4661,proposed,5,8,100,0.367,3.0418,1.000000,1.000000
02,4661,naive,5,8,100,0.371,1.8714,0.998069,0.992705
02,4661,naive_sc,5,8,100,0.414,2.0666,0.980449,0.936709
02,4661,rerank,5,8,100,0.246,2.8911,1.000000,1.000000
02,4661,brute,15,1,100,0.000,17.6194,1.000000,1.000000
02,4661,proposed,15,1,100,0.379,3.3105,1.000000,1.000000
02,4661,naive,15,1,100,0.381,2.2890,0.942931,0.942931
02,4661,naive_sc,15,1,100,0.426,1.8285,0.787170,0.787170
02,4661,rerank,15,1,100,0.254,2.9773,0.995924,0.995924
02,4661,brute,15,8,100,0.000,19.8069,1.000000,1.000000
02,4661,proposed,15,8,100,0.370,3.5023,1.000000,1.000000
02,4661,naive,15,8,100,0.380,2.1057,0.982434,0.942931
02,4661,naive_sc,15,8,100,0.380,2.3165,0.866713,0.787170
02,4661,rerank,15,8,100,0.247,2.9286,0.994368,0.995924
02,4661,brute,50,1,100,0.000,16.9046,1.000000,1.000000
02,4661,proposed,50,1,100,0.388,3.7227,1.000000,1.000000
02,4661,naive,50,1,100,0.404,1.8809,0.904956,0.904956
