i,x,z,recall_naive,recall_naive_sc,recall_rerank
0,3.2141e-14,-4.04121e-14,1,1,1
1,0.00387974,0.808514,1,1,1
2,0.0071924,1.63042,1,1,1
3,0.0204547,2.38989,1,1,1
4,0.0295866,3.17392,1,1,1
5,0.0333512,3.89859,1,1,1
6,0.0381671,4.63077,1,1,1
7,0.0505932,5.3216,1,1,1
8,0.0517082,5.96928,1,1,1
9,0.0624746,6.58458,1,1,1
10,0.0774708,7.17943,1,1,1
11,0.091596,7.76333,1,1,1
12,0.0780621,8.2945,1,1,1
13,0.0526946,8.77105,1,1,1
14,0.0453994,9.21916,1,1,1
15,0.0363,9.64713,1,1,1
16,0.0472548,10.0472,1,1,1
17,0.0420154,10.4353,1,1,1
18,0.0376912,10.7557,1,1,1
19,0.0317648,11.0482,1,1,1
20,0.0507227,11.324,1,1,1
21,0.0703962,11.572,1,1,1
22,0.095297,11.7952,1,1,1
23,0.0902813,11.896,1,1,1
24,0.0966904,12.008,1,1,1
25,0.106488,12.1044,1,1,1
26,0.112343,12.1915,1,1,1
27,0.124405,12.281,1,1,1
28,0.1056,12.2932,1,1,1
29,0.107397,12.3354,1,1,1
30,0.106056,12.367,1,1,1
31,0.120544,12.4238,1,1,1
32,0.117563,12.4453,1,1,1
33,0.125276,12.4807,1,1,1
34,0.127033,12.5006,1,1,1
35,0.14254,12.5451,1,1,1
36,0.156946,12.5901,1,1,1
37,0.160183,12.6296,1,1,1
38,0.15042,12.6565,1,1,1
39,0.151509,12.7029,1,1,1
40,0.155181,12.7549,1,1,1
41,0.156773,12.8065,1,1,1
42,0.146149,12.8366,1,1,1
43,0.131374,12.8667,1,1,1
44,0.128123,12.9243,1,1,1
45,0.118103,12.9866,1,1,1
46,0.11342,13.0785,1,1,1
47,0.0778454,13.1471,1,1,1
48,0.0460111,13.2518,1,1,1
49,0.002379,13.3622,1,1,1
50,-0.0383493,13.5146,1,1,1
51,-0.102743,13.6624,1,1,1
52,-0.178409,13.8467,1,1,1
53,-0.263549,14.0491,1,1,1
54,-0.377391,14.2372,1,1,1
55,-0.491289,14.4659,1,1,1
56,-0.637296,14.6982,1,1,1
57,-0.803739,14.9181,1,1,1
58,-0.984812,15.169,1,1,1
59,-1.1719,15.4091,1,1,1
60,-1.39352,15.5995,1,1,1
61,-1.62828,15.8372,1,1,1
62,-1.90939,16.031,1,1,1
63,-2.18364,16.2579,1,1,1
64,-2.47742,16.4813,1,1,1
65,-2.81285,16.6577,1,1,1
66,-3.16864,16.8916,1,1,1
67,-3.55852,17.1135,1,1,1
68,-3.97538,17.2926,1,1,1
69,-4.41053,17.492,1,1,1
70,-4.86851,17.6252,1,1,1
71,-5.37226,17.8,1,1,1
72,-5.88726,17.9579,1,1,1
73,-6.44453,18.049,1,1,1
74,-7.01114,18.1557,1,1,1
75,-7.60344,18.2418,1,1,1
76,-8.25299,18.2863,1,1,1
77,-8.90279,18.3314,1,1,1
78,-9.59378,18.3335,1,1,1
79,-10.2776,18.3282,1,1,1
80,-10.9924,18.2969,1,1,1
81,-11.7379,18.2624,1,1,1
82,-12.5414,18.2251,1,1,1
83,-13.3162,18.1798,1,1,1
84,-14.1236,18.1372,1,1,1
85,-14.9304,18.0981,1,1,1
86,-15.8012,18.0776,0.875,0.875,1
87,-16.6601,18.0436,1,1,1
88,-17.5535,18.0071,1,1,1
89,-18.4404,17.981,1,1,1
90,-19.3803,17.9415,1,1,1
91,-20.309,17.8938,1,1,1
92,-21.2605,17.8469,1,1,1
93,-22.232,17.7912,0.875,0.875,1
94,-23.2266,17.7326,1,1,1
95,-24.254,17.6733,0.875,0.875,1
96,-25.2945,17.6126,1,1,1
97,-26.3404,17.5552,1,1,1
98,-27.3797,17.4996,0.875,0.875,1
99,-28.4203,17.4366,1,1,1
100,-29.5326,17.3827,1,1,1
101,-30.6533,17.3255,1,1,1
102,-31.7354,17.2592,1,1,1
103,-32.8401,17.187,1,1,1
104,-33.9364,17.1056,1,1,1
105,-35.0618,17.0123,1,1,1
106,-36.172,16.913,1,1,1
107,-37.2983,16.8108,0.875,0.875,1
108,-38.4057,16.7014,1,1,1
109,-39.5274,16.5892,1,1,1
110,-40.6292,16.4835,1,1,1
111,-41.7263,16.3762,1,1,1
112,-42.8244,16.2652,1,1,1
113,-43.9235,16.1526,1,1,1
114,-45.0211,16.0124,1,1,1
115,-46.1246,15.8747,1,1,1
116,-47.233,15.7358,1,1,1
117,-48.347,15.6128,1,1,1
118,-49.4435,15.4598,1,1,1
119,-50.5523,15.3321,1,1,1
120,-51.6769,15.1924,1,1,1
121,-52.7974,15.0513,1,1,1
122,-53.9258,14.8923,1,1,1
123,-55.0311,14.7426,1,1,1
124,-56.1495,14.5756,1,1,1
125,-57.271,14.4448,1,1,1
126,-58.4018,14.3299,1,1,1
127,-59.5394,14.2194,1,1,1
128,-60.6799,14.1302,1,1,1
129,-61.8298,14.0348,1,1,1
130,-62.9689,13.959,1,1,1
131,-64.1037,13.882,1,1,1
132,-65.2451,13.8244,1,1,1
133,-66.404,13.7702,1,1,1
134,-67.5939,13.7041,1,1,1
135,-68.8035,13.6287,1,1,1
136,-70.0011,13.5637,1,1,1
137,-71.1976,13.4964,1,1,1
138,-72.3963,13.4449,1,1,1
139,-73.6104,13.4153,1,1,1
140,-74.8484,13.3856,1,1,1
141,-76.0408,13.365,1,1,1
142,-77.2349,13.3422,1,1,1
143,-78.4288,13.3176,1,1,1
144,-79.6299,13.2863,1,1,1
145,-80.8143,13.2477,1,1,1
146,-81.9909,13.2025,1,1,1
147,-83.178,13.1723,1,1,1
148,-84.4003,13.154,1,1,1
149,-85.6063,13.1361,1,1,1
150,-86.8064,13.1163,1,1,1
151,-88.0058,13.0905,1,1,1
152,-89.2018,13.0574,1,1,1
153,-90.4074,13.0302,1,1,1
154,-91.5902,13.0018,1,1,1
155,-92.7642,12.9658,1,1,1
156,-93.9327,12.9382,1,1,1
157,-95.1057,12.91,1,1,1
158,-96.2696,12.8747,1,1,1
159,-97.4259,12.8303,1,1,1
160,-98.5864,12.793,1,1,1
161,-99.7549,12.7534,1,1,1
162,-100.922,12.721,1,1,1
163,-102.087,12.695,1,1,1
164,-103.254,12.6711,1,1,1
165,-104.419,12.6468,1,1,1
166,-105.589,12.622,0.875,0.875,1
167,-106.762,12.5987,1,1,1
168,-107.951,12.5747,1,1,1
169,-109.132,12.5453,1,1,1
170,-110.32,12.5174,1,1,1
171,-111.507,12.492,1,1,1
172,-112.706,12.4706,1,1,1
173,-113.911,12.4517,1,1,1
174,-115.125,12.4275,1,1,1
175,-116.345,12.4015,1,1,1
176,-117.566,12.3779,1,1,1
177,-118.791,12.3569,1,1,1
178,-120.02,12.3317,1,1,1
179,-121.257,12.3064,1,1,1
180,-122.507,12.2776,1,1,1
181,-123.766,12.2431,1,1,1
182,-125.025,12.2035,1,1,1
183,-126.283,12.1623,1,1,1
184,-127.541,12.1239,1,1,1
185,-128.801,12.0887,1,1,1
186,-130.058,12.0568,1,1,1
187,-131.318,12.0358,1,1,1
188,-132.57,11.9886,1,1,1
189,-133.838,11.9401,1,1,1
190,-135.113,11.8815,1,1,1
191,-136.374,11.8205,1,1,1
192,-137.647,11.7634,1,1,1
193,-138.906,11.7155,1,1,1
194,-140.168,11.6671,1,1,1
195,-141.424,11.6247,1,1,1
196,-142.686,11.5926,1,1,1
197,-143.937,11.5586,1,1,1
198,-145.186,11.5237,1,1,1
199,-146.426,11.4927,1,1,1
200,-147.669,11.4658,1,1,1
201,-148.919,11.4495,1,1,1
202,-150.161,11.4292,1,1,1
203,-151.402,11.4086,1,1,1
204,-152.638,11.3818,1,1,1
205,-153.879,11.3592,1,1,1
206,-155.115,11.333,1,1,1
207,-156.35,11.3105,1,1,1
