i,x,z,recall_naive,recall_naive_sc,recall_rerank
0,0,0,0.875,0.875,1
1,-0.1629,1.002,1,1,1
2,-0.37,2.019,1,1,1
3,-0.6092,2.995,1,1,1
4,-0.8855,3.967,1,1,1
5,-1.1925,4.924,1,1,1
6,-1.54,5.908,1,1,1
7,-1.9058,6.874,1,1,1
8,-2.2754,7.815,0.875,0.875,1
9,-2.6435,8.758,0.875,0.875,1
10,-3.0258,9.734,1,1,1
11,-3.4007,10.69,1,1,1
12,-3.7674,11.628,1,1,1
13,-4.1423,12.589,1,1,1
14,-4.5053,13.522,0.875,0.875,1
15,-4.8725,14.468,0.875,0.875,1
16,-5.2484,15.436,1,1,1
17,-5.6146,16.368,1,1,1
18,-5.9925,17.321,1,1,1
19,-6.3839,18.293,1,1,1
20,-6.7667,19.223,1,1,1
21,-7.1614,20.161,0.875,0.875,1
22,-7.5723,21.112,0.875,0.875,1
23,-8.0012,22.078,1,1,1
24,-8.4206,23.002,1,1,1
25,-8.8555,23.939,1,1,1
26,-9.3099,24.892,1,1,1
27,-9.7535,25.791,1,1,1
28,-10.2154,26.695,0.875,0.875,1
29,-10.6974,27.605,1,1,1
30,-11.2024,28.523,1,1,1
31,-11.7305,29.447,1,1,1
32,-12.2433,30.307,1,0.75,1
33,-12.7779,31.17,0.75,0.5,1
34,-13.3338,32.034,0.875,0.125,1
35,-13.9119,32.899,1,0,1
36,-14.5114,33.763,1,0,1
37,-15.1324,34.62,1,0,1
38,-15.7736,35.472,1,0,1
39,-16.3869,36.263,1,0,1
40,-17.0157,37.053,1,0,1
41,-17.6614,37.844,1,0,1
42,-18.3224,38.636,1,0,1
43,-18.9922,39.427,1,0,1
44,-19.6663,40.214,1,0.25,1
45,-20.3528,41.001,1,0.25,1
46,-21.047,41.786,1,0.25,1
47,-21.7496,42.57,1,0.25,1
48,-22.4613,43.355,1,0.375,1
49,-23.1774,44.137,1,0.375,1
50,-23.9014,44.921,1,0.375,1
51,-24.6315,45.706,1,0.375,1
52,-25.3628,46.484,1,0.375,1
53,-26.0967,47.256,1,0.375,1
54,-26.834,48.031,1,0.375,1
55,-27.5731,48.808,1,0.375,1
56,-28.3109,49.586,1,0.25,1
57,-29.0467,50.364,1,0.25,1
58,-29.7792,51.14,1,0.25,1
59,-30.5056,51.912,1,0.25,1
60,-31.2348,52.692,1,0.25,1
61,-31.96,53.471,1,0.25,1
62,-32.6819,54.25,1,0.125,1
63,-33.3978,55.029,1,0.125,1
64,-34.111,55.812,1,0,1
65,-34.8195,56.598,1,0,1
66,-35.5232,57.387,1,0,1
67,-36.219,58.179,1,0,1
68,-36.9079,58.977,1,0,1
69,-37.5928,59.78,1,0,1
70,-38.2708,60.586,1,0,1
71,-38.9455,61.399,1,0,1
72,-39.6141,62.216,1,0,1
73,-40.2789,63.041,1,0,1
74,-40.9372,63.869,1,0,1
75,-41.5965,64.716,1,0,1
76,-42.2514,65.57,1,0,1
77,-42.9004,66.431,1,0,1
78,-43.542,67.297,1,0,1
79,-44.1758,68.169,1,0,1
80,-44.8028,69.049,1,0,1
81,-45.4214,69.934,1,0,1
82,-46.0255,70.819,1,0,1
83,-46.6115,71.704,1,0,1
84,-47.1884,72.599,1,0,1
85,-47.7554,73.504,1,0,1
86,-48.3106,74.416,1,0,1
87,-48.8553,75.337,1,0,1
88,-49.3896,76.267,1,0,1
89,-49.9122,77.204,1,0,1
90,-50.3881,78.086,1,0,1
91,-50.8556,78.977,1,0,1
92,-51.3129,79.871,1,0,1
93,-51.7633,80.774,1,0,1
94,-52.2044,81.683,1,0,1
95,-52.635,82.596,1,0,1
96,-53.0569,83.516,1,0,1
97,-53.4701,84.443,1,0,1
98,-53.8702,85.374,1,0,1
99,-54.2583,86.309,1,0,1
100,-54.6377,87.25,1,0,1
101,-55.0101,88.2,1,0,1
102,-55.374,89.154,1,0,1
103,-55.7288,90.111,1,0,1
104,-56.0755,91.071,1,0,1
105,-56.4153,92.036,1,0,1
106,-56.7451,93.004,1,0,1
107,-57.0656,93.974,1,0,1
108,-57.3784,94.948,1,0,1
109,-57.6851,95.931,1,0,1
110,-57.9819,96.911,1,0,1
111,-58.2718,97.898,1,0,1
112,-58.5557,98.894,1,0,1
113,-58.8315,99.895,1,0,1
114,-59.0971,100.894,1,0,1
115,-59.3572,101.905,1,0,1
116,-59.6089,102.924,1,0,1
117,-59.851,103.946,1,0,1
118,-60.083,104.97,1,0,1
119,-60.3052,105.998,1,0,1
120,-60.5183,107.031,1,0,1
121,-60.7214,108.067,1,0,1
122,-60.9133,109.103,1,0,1
123,-61.0976,110.141,1,0,1
124,-61.2714,111.184,1,0,1
125,-61.4346,112.23,1,0,1
126,-61.5874,113.281,1,0,1
127,-61.7295,114.332,1,0,1
128,-61.8608,115.388,1,0,1
129,-61.9813,116.447,1,0,1
130,-62.09,117.505,1,0,1
131,-62.1922,118.567,1,0,1
132,-62.2826,119.631,1,0,1
133,-62.3616,120.698,1,0,1
134,-62.43,121.771,1,0,1
135,-62.4881,122.847,1,0,1
136,-62.5361,123.927,1,0,1
137,-62.5738,125.011,1,0,1
138,-62.6008,126.098,1,0,1
139,-62.6198,127.185,1,0,1
140,-62.6298,128.275,1,0,1
141,-62.6306,129.275,1,0,1
142,-62.6231,130.28,1,0,1
143,-62.6073,131.285,1,0,1
144,-62.5806,132.377,1,0,1
