i,x,z,recall_naive,recall_naive_sc,recall_rerank
0,0,0,1,0.5,1
1,-0.4631,0.894,1,0.5,1
2,-0.9327,1.816,1,0.5,1
3,-1.3856,2.72,1,0.5,1
4,-1.8369,3.633,1,0.5,1
5,-2.2844,4.552,1,0.625,1
6,-2.7256,5.465,1,0.75,1
7,-3.1596,6.372,1,0.75,1
8,-3.6083,7.312,1,0.75,1
9,-4.0517,8.237,1,0.75,1
10,-4.4862,9.141,1,0.875,1
11,-4.9325,10.07,1,1,1
12,-5.3663,10.972,1,1,1
13,-5.8111,11.895,1,1,1
14,-6.2703,12.846,1,1,1
15,-6.7148,13.764,1,1,1
16,-7.1718,14.707,1,1,1
17,-7.6106,15.615,1,0.875,1
18,-8.0466,16.521,1,1,1
19,-8.4838,17.431,1,1,1
20,-8.9419,18.377,1,1,1
21,-9.3862,19.286,1,1,1
22,-9.8453,20.222,1,1,1
23,-10.2908,21.128,1,1,1
24,-10.7432,22.045,1,1,1
25,-11.206,22.978,1,1,1
26,-11.6773,23.926,1,1,1
27,-12.1593,24.89,1,1,1
28,-12.6127,25.797,1,1,1
29,-13.0715,26.717,1,1,1
30,-13.5372,27.652,1,1,1
31,-14.0102,28.603,1,1,1
32,-14.4907,29.567,1,1,1
33,-14.9406,30.466,1,1,1
34,-15.3944,31.368,1,1,1
35,-15.8573,32.286,1,1,1
36,-16.3264,33.213,1,1,1
37,-16.8022,34.148,1,1,1
38,-17.2847,35.092,1,1,1
39,-17.7762,36.05,1,1,1
40,-18.2729,37.015,1,1,1
41,-18.7736,37.983,1,1,1
42,-19.2355,38.872,1,1,1
43,-19.6994,39.76,1,1,1
44,-20.2043,40.722,1,1,1
45,-20.7098,41.68,1,1,1
46,-21.2145,42.631,1,1,1
47,-21.7188,43.576,1,1,1
48,-22.2243,44.518,1,1,1
49,-22.7318,45.458,1,1,1
50,-23.2347,46.383,1,1,1
51,-23.742,47.311,1,1,1
52,-24.2514,48.236,1,1,1
53,-24.7619,49.159,1,1,1
54,-25.2714,50.076,1,1,1
55,-25.7808,50.99,1,1,1
56,-26.2912,51.902,1,1,1
57,-26.802,52.813,1,1,1
58,-27.3102,53.717,1,1,1
59,-27.8172,54.619,1,1,1
60,-28.3247,55.52,1,1,1
61,-28.8309,56.416,1,1,1
62,-29.3393,57.315,1,1,1
63,-29.8488,58.212,1,1,1
64,-30.3552,59.101,1,1,1
65,-30.8631,59.989,1,1,1
66,-31.3746,60.88,1,1,1
67,-31.8782,61.755,1,1,1
68,-32.4166,62.686,1,1,1
69,-32.9209,63.553,1,1,1
70,-33.4337,64.427,1,1,1
71,-33.9563,65.312,1,1,1
72,-34.4806,66.198,1,1,1
73,-35.0033,67.079,1,1,1
74,-35.5344,67.969,1,1,1
75,-36.0753,68.871,1,1,1
76,-36.6129,69.762,1,1,1
77,-37.15,70.649,1,1,1
78,-37.691,71.538,1,1,1
79,-38.2386,72.435,1,1,1
80,-38.7904,73.335,1,1,1
81,-39.3453,74.238,1,1,1
82,-39.9021,75.14,1,1,1
83,-40.4618,76.046,1,1,1
84,-41.0248,76.958,1,1,1
85,-41.5902,77.874,1,1,1
86,-42.1601,78.797,1,1,1
87,-42.7307,79.718,1,1,1
88,-43.3044,80.64,1,1,1
89,-43.8344,81.489,1,1,1
90,-44.4134,82.413,1,1,1
91,-44.9481,83.263,1,1,1
92,-45.4845,84.113,1,1,1
93,-46.0251,84.967,1,1,1
94,-46.5681,85.822,1,1,1
95,-47.1135,86.678,1,1,1
96,-47.6626,87.538,1,1,1
97,-48.2141,88.398,1,1,1
98,-48.7682,89.26,1,1,1
99,-49.3238,90.124,1,1,1
100,-49.8792,90.987,1,1,1
101,-50.4363,91.856,1,1,1
102,-50.9938,92.727,1,1,1
103,-51.5553,93.606,1,1,1
104,-52.1154,94.484,1,1,1
105,-52.6755,95.364,1,1,1
106,-53.2383,96.25,1,1,1
107,-53.8012,97.137,1,1,1
108,-54.3611,98.02,1,1,1
109,-54.917,98.898,1,1,1
110,-55.4714,99.774,1,1,1
111,-56.0218,100.646,1,1,1
112,-56.5699,101.515,1,1,1
113,-57.1134,102.378,1,1,1
114,-57.6542,103.237,1,1,1
115,-58.1919,104.092,1,1,1
116,-58.7261,104.942,1,1,1
117,-59.3038,105.862,1,1,1
118,-59.8794,106.779,1,1,1
119,-60.452,107.691,1,1,1
120,-61.023,108.601,1,1,1
121,-61.5954,109.513,1,1,1
122,-62.1663,110.424,1,1,1
123,-62.7188,111.306,1,1,1
124,-63.2748,112.192,1,1,1
125,-63.8368,113.084,1,1,1
126,-64.4068,113.984,1,1,1
127,-64.982,114.889,1,1,1
128,-65.5583,115.795,1,1,1
129,-66.142,116.71,1,1,1
130,-66.6837,117.556,1,1,1
131,-67.2272,118.402,1,1,1
132,-67.7687,119.243,1,1,1
133,-68.3598,120.159,1,1,1
134,-68.9072,121.005,1,1,1
135,-69.4553,121.849,1,1,1
136,-70.0093,122.698,1,1,1
137,-70.5656,123.549,1,1,1
138,-71.1238,124.399,1,1,1
139,-71.6835,125.249,1,1,1
140,-72.2465,126.1,1,1,1
141,-72.8126,126.951,1,1,1
142,-73.3824,127.805,1,1,1
143,-73.9534,128.656,1,1,1
144,-74.5291,129.51,1,1,1
145,-75.1068,130.364,1,1,1
146,-75.6873,131.218,1,1,1
147,-76.2715,132.074,1,1,1
148,-76.8588,132.932,1,1,1
149,-77.4459,133.788,1,1,1
150,-78.0362,134.647,1,1,1
151,-78.6297,135.508,1,1,1
152,-79.2216,136.366,1,1,1
153,-79.8172,137.226,1,1,1
154,-80.4152,138.087,1,1,1
155,-81.0162,138.948,1,1,1
156,-81.6223,139.812,1,1,1
157,-82.231,140.676,1,1,1
158,-82.8423,141.539,1,1,1
159,-83.458,142.406,1,1,1
160,-84.0673,143.261,1,1,1
161,-84.6812,144.12,1,1,1
162,-85.2988,144.977,1,1,1
163,-85.9212,145.835,1,1,1
164,-86.553,146.703,1,1,1
165,-87.1829,147.566,1,1,1
166,-87.8139,148.429,1,1,1
167,-88.4528,149.299,1,1,1
168,-89.0945,150.169,1,1,1
169,-89.7368,151.036,1,1,1
170,-90.3811,151.903,1,1,1
171,-91.0279,152.77,1,1,1
172,-91.678,153.639,1,1,1
173,-92.3321,154.51,1,1,1
174,-92.9911,155.384,1,1,1
175,-93.595,156.183,1,1,1
176,-94.2009,156.981,1,1,1
177,-94.8651,157.852,1,1,1
178,-95.5228,158.71,1,1,1
179,-96.1819,159.565,1,1,1
180,-96.8425,160.416,1,1,1
181,-97.4997,161.258,1,1,1
182,-98.1545,162.093,1,1,1
183,-98.8101,162.924,1,1,1
184,-99.462,163.747,1,1,1
185,-100.116,164.568,1,1,1
186,-100.768,165.384,1,1,1
187,-101.419,166.192,1,1,1
