i,x,z,recall_naive,recall_naive_sc,recall_rerank
0,0,0,1,1,1
1,0.8552,0.566,1,1,1
2,1.7138,1.141,1,1,1
3,2.563,1.717,1,1,1
4,3.4137,2.302,1,1,1
5,4.2542,2.886,1,1,1
6,5.1047,3.484,1,1,1
7,5.9203,4.063,1,1,1
8,6.7373,4.644,1,1,1
9,7.5922,5.257,1,1,1
10,8.4391,5.868,1,1,1
11,9.2717,6.472,1,1,1
12,10.0833,7.063,1,1,1
13,10.9225,7.677,1,1,1
14,11.7401,8.275,1,1,1
15,12.578,8.891,1,1,1
16,13.4375,9.524,1,1,1
17,14.2648,10.134,1,1,1
18,15.1113,10.757,1,1,1
19,15.9196,11.351,1,1,1
20,16.7484,11.957,1,1,1
21,17.5972,12.575,1,1,1
22,18.4618,13.201,1,1,1
23,19.2818,13.792,1,1,1
24,20.1155,14.389,1,1,1
25,20.966,14.995,1,1,1
26,21.8298,15.607,1,1,1
27,22.7019,16.222,1,1,1
28,23.5836,16.842,1,1,1
29,24.41,17.423,1,1,1
30,25.2475,18.012,1,1,1
31,26.0955,18.608,1,1,1
32,26.9548,19.213,1,1,1
33,27.8251,19.827,1,1,1
34,28.7064,20.449,1,1,1
35,29.531,21.033,1,1,1
36,30.3679,21.629,1,1,1
37,31.2142,22.233,1,1,1
38,32.0687,22.846,1,1,1
39,32.9302,23.467,1,1,1
40,33.7991,24.097,1,1,1
41,34.6735,24.735,1,1,1
42,35.5562,25.383,1,1,1
43,36.4339,26.031,1,1,1
44,37.2411,26.634,1,1,1
45,38.0546,27.246,1,1,1
46,38.8726,27.866,1,1,1
47,39.6933,28.494,1,1,1
48,40.5193,29.132,1,1,1
49,41.3482,29.778,1,1,1
50,42.1795,30.433,1,1,1
51,43.014,31.097,1,1,1
52,43.8473,31.767,1,1,1
53,44.6813,32.446,1,1,1
54,45.5224,33.138,1,1,1
55,46.3676,33.843,1,1,1
56,47.2144,34.556,1,1,1
57,47.9789,35.206,1,1,1
58,48.745,35.863,1,1,1
59,49.5152,36.529,1,1,1
60,50.2862,37.199,1,1,1
61,51.0604,37.875,1,1,1
62,51.8345,38.555,1,1,1
63,52.6131,39.241,1,1,1
64,53.395,39.932,1,1,1
65,54.1822,40.629,1,1,1
66,54.9724,41.331,1,1,1
67,55.7684,42.038,1,1,1
68,56.5675,42.749,1,1,1
69,57.3718,43.464,1,1,1
70,58.182,44.181,1,1,1
71,58.9977,44.901,1,1,1
72,59.8199,45.623,1,1,1
73,60.6482,46.348,1,1,1
74,61.4827,47.076,1,1,1
75,62.3221,47.805,1,1,1
76,63.1671,48.535,1,1,1
77,64.0167,49.265,1,1,1
78,64.7782,49.917,1,1,1
79,65.5426,50.569,1,1,1
80,66.3117,51.222,1,1,1
81,67.0861,51.878,1,1,1
82,67.8662,52.535,1,1,1
83,68.65,53.193,1,1,1
84,69.4415,53.854,1,1,1
85,70.2403,54.52,1,1,1
86,71.0402,55.183,1,1,1
87,71.8429,55.847,1,1,1
88,72.6462,56.51,1,1,1
89,73.452,57.174,1,1,1
90,74.2574,57.837,1,1,1
91,75.0629,58.499,1,1,1
92,75.8687,59.16,1,1,1
93,76.6758,59.821,1,1,1
94,77.4803,60.479,1,1,1
95,78.2895,61.141,1,1,1
96,79.0984,61.802,1,1,1
97,79.9044,62.461,1,1,1
98,80.7102,63.12,1,1,1
99,81.513,63.776,1,1,1
100,82.3069,64.425,1,1,1
101,83.1,65.072,1,1,1
102,83.8909,65.718,1,1,1
103,84.6844,66.364,1,1,1
104,85.4781,67.01,1,1,1
105,86.2737,67.656,1,1,1
106,87.0689,68.301,1,1,1
107,87.8671,68.947,1,1,1
108,88.6698,69.595,1,1,1
109,89.4745,70.243,1,1,1
110,90.2785,70.889,1,1,1
111,91.0828,71.534,1,1,1
112,91.881,72.173,1,1,1
113,92.6789,72.811,1,1,1
114,93.4757,73.448,1,1,1
115,94.2722,74.084,1,1,1
116,95.0677,74.72,1,1,1
117,95.8629,75.356,1,1,1
118,96.6584,75.993,1,1,1
119,97.4532,76.631,1,1,1
120,98.2543,77.274,1,1,1
121,99.0545,77.917,1,1,1
122,99.8538,78.559,1,1,1
123,100.652,79.202,1,1,1
124,101.446,79.841,1,1,1
125,102.237,80.478,1,1,1
126,103.027,81.115,1,1,1
127,103.816,81.752,1,1,0.875
128,104.605,82.389,1,1,0.75
129,105.394,83.024,1,1,0.5
130,106.184,83.66,1,1,0.25
131,106.973,84.294,1,1,0.25
132,107.769,84.933,1,1,0.375
133,108.567,85.572,1,1,0.5
134,109.366,86.211,1,0.875,0.75
135,110.163,86.848,1,0.75,0.875
136,110.96,87.483,1,0.75,0.875
137,111.751,88.114,1,0.875,0.75
138,112.543,88.744,1,0.875,0.75
139,113.335,89.374,1,0.875,0.75
140,114.127,90.004,1,0.875,0.75
141,114.917,90.634,1,0.875,0.75
142,115.707,91.264,1,0.875,0.75
143,116.494,91.893,1,0.75,0.75
144,117.286,92.525,1,0.75,0.75
145,118.08,93.159,1,0.75,0.75
146,118.875,93.794,1,0.75,0.75
147,119.67,94.427,1,0.75,0.75
148,120.465,95.061,1,0.875,0.625
149,121.255,95.688,1,0.875,0.75
