space,N,library,build_ms,query_us,recall
SO3,1000,proposed,0.095,2.9856,1.0000
SO3,1000,nigh,0.253,1.2534,1.0000
SO3,1000,mpnn,4.830,22.8381,1.0000
SO3,1000,brute_force,0.000,15.8333,1.0000
SO3,3000,proposed,0.332,4.7927,1.0000
SO3,3000,nigh,0.814,1.4486,1.0000
SO3,3000,mpnn,6.675,28.1697,1.0000
SO3,3000,brute_force,0.000,47.6430,1.0000
SO3,10000,proposed,1.131,6.8573,1.0000
SO3,10000,nigh,2.476,1.6140,1.0000
SO3,10000,mpnn,14.859,28.4217,1.0000
SO3,10000,brute_force,0.000,162.4705,1.0000
SO3,30000,proposed,3.844,9.7803,1.0000
SO3,30000,nigh,9.940,1.7630,1.0000
SO3,30000,mpnn,44.810,41.5781,1.0000
SO3,30000,brute_force,0.000,486.3301,1.0000
SO3,100000,proposed,14.444,15.0786,1.0000
SO3,100000,nigh,35.339,2.4196,1.0000
SO3,100000,mpnn,194.957,44.9976,1.0000
SO3,100000,brute_force,0.000,1631.8072,1.0000
SO3,300000,proposed,58.955,28.9931,1.0000
SO3,300000,nigh,168.342,3.3107,1.0000
SO3,300000,mpnn,742.463,58.7162,1.0000
SO3,300000,brute_force,0.000,4946.1003,1.0000
SE3,1000,proposed,0.102,0.6041,1.0000
SE3,1000,nigh,0.130,1.0330,1.0000
SE3,3000,proposed,0.338,0.7980,1.0000
SE3,3000,nigh,0.426,1.4700,1.0000
SE3,10000,proposed,1.282,1.1900,1.0000
SE3,10000,nigh,1.781,2.3229,1.0000
SE3,30000,proposed,4.325,1.7119,1.0000
SE3,30000,nigh,6.963,4.1167,1.0000
SE3,100000,proposed,16.137,4.1580,1.0000
SE3,100000,nigh,34.618,9.4580,1.0000
SE3,300000,proposed,68.321,16.0963,1.0000
SE3,300000,nigh,177.228,17.0502,1.0000
