source,leaf_max_size,k,threads,n_points,build_s,query_us
kitti,10,1,1,124605,0.0123311,0.68015
kitti,10,5,1,124605,0.0120616,0.9681
kitti,10,20,1,124605,0.0115913,2.4342
kitti,25,1,1,124605,0.0094702,0.57035
kitti,25,5,1,124605,0.0091251,0.77245
kitti,25,20,1,124605,0.0094169,1.6603
kitti,10,1,1,124478,0.0114814,0.72565
kitti,10,5,1,124478,0.0121784,1.0608
kitti,10,20,1,124478,0.0121695,2.1694
kitti,25,1,1,124478,0.0092961,0.5839
kitti,25,5,1,124478,0.0092313,0.79125
kitti,25,20,1,124478,0.0091287,1.6098
kitti,10,1,1,124167,0.0146239,0.75215
kitti,10,5,1,124167,0.0113179,1.11505
kitti,10,20,1,124167,0.0118905,2.242
kitti,25,1,1,124167,0.0092478,0.5759
kitti,25,5,1,124167,0.0093056,0.8722
kitti,25,20,1,124167,0.0095937,1.86245
kitti,10,1,1,123969,0.0167854,1.07155
kitti,10,5,1,123969,0.0172757,1.37955
kitti,10,20,1,123969,0.0120708,2.03555
kitti,25,1,1,123969,0.0102058,0.59515
kitti,25,5,1,123969,0.0093542,0.87715
kitti,25,20,1,123969,0.0090772,1.56955
kitti,10,1,1,123924,0.0118924,0.99665
kitti,10,5,1,123924,0.01491,1.04935
kitti,10,20,1,123924,0.0132691,1.9856
kitti,25,1,1,123924,0.0097581,0.6454
kitti,25,5,1,123924,0.0094602,0.943
kitti,25,20,1,123924,0.0097036,1.8063
kitti,10,1,1,123373,0.012803,0.9221
kitti,10,5,1,123373,0.0123872,1.22075
kitti,10,20,1,123373,0.0112709,2.31695
kitti,25,1,1,123373,0.0093015,0.6142
kitti,25,5,1,123373,0.0102599,1.10105
kitti,25,20,1,123373,0.0110332,1.7576
kitti,10,1,1,122765,0.0112219,0.7756
kitti,10,5,1,122765,0.0124627,1.31495
kitti,10,20,1,122765,0.0117956,1.95225
kitti,25,1,1,122765,0.0097659,0.66795
kitti,25,5,1,122765,0.0091114,0.8069
kitti,25,20,1,122765,0.0088018,1.83
kitti,10,1,1,122123,0.0126589,0.74135
kitti,10,5,1,122123,0.0128711,1.09895
kitti,10,20,1,122123,0.0121378,2.32135
kitti,25,1,1,122123,0.0112266,0.9976
kitti,25,5,1,122123,0.0116584,0.9596
kitti,25,20,1,122123,0.0089821,2.6135
kitti,10,1,1,121357,0.0115823,0.66495
kitti,10,5,1,121357,0.0121593,1.64935
kitti,10,20,1,121357,0.012903,2.19425
kitti,25,1,1,121357,0.0103473,0.64425
kitti,25,5,1,121357,0.0094363,1.04125
kitti,25,20,1,121357,0.0094984,1.77865
kitti,10,1,1,121018,0.0113269,0.64385
kitti,10,5,1,121018,0.0116484,1.02865
kitti,10,20,1,121018,0.0114288,2.17945
kitti,25,1,1,121018,0.0089759,0.6701
kitti,25,5,1,121018,0.008944,0.8112
kitti,25,20,1,121018,0.0105775,2.13645
kitti,10,1,1,120945,0.011114,0.6523
kitti,10,5,1,120945,0.0109807,0.98685
kitti,10,20,1,120945,0.0120262,1.91225
kitti,25,1,1,120945,0.0095339,0.54075
kitti,25,5,1,120945,0.0091597,1.19505
kitti,25,20,1,120945,0.0087944,1.6668
kitti,10,1,1,120503,0.0113185,0.62285
kitti,10,5,1,120503,0.0107185,0.8781
kitti,10,20,1,120503,0.0106796,1.929
kitti,25,1,1,120503,0.0087885,0.5153
kitti,25,5,1,120503,0.00953,0.8189
kitti,25,20,1,120503,0.0088302,1.70105
kitti,10,1,1,120295,0.0120051,0.65685
kitti,10,5,1,120295,0.0116463,1.1948
kitti,10,20,1,120295,0.0108481,1.9497
kitti,25,1,1,120295,0.0096696,0.62955
kitti,25,5,1,120295,0.0095577,0.87095
kitti,25,20,1,120295,0.0089078,1.94015
kitti,10,1,1,120406,0.011694,0.65175
kitti,10,5,1,120406,0.0114143,0.94905
kitti,10,20,1,120406,0.0114431,2.15925
kitti,25,1,1,120406,0.0100393,0.7137
kitti,25,5,1,120406,0.0094396,0.96865
kitti,25,20,1,120406,0.0098682,2.6466
kitti,10,1,1,121023,0.0118535,0.71045
kitti,10,5,1,121023,0.0121715,1.00335
kitti,10,20,1,121023,0.011772,2.19575
kitti,25,1,1,121023,0.00978,0.72525
kitti,25,5,1,121023,0.0108439,1.0376
kitti,25,20,1,121023,0.010689,1.8671
kitti,10,1,1,121842,0.0112385,0.62405
kitti,10,5,1,121842,0.0121399,1.0217
kitti,10,20,1,121842,0.011194,2.28735
kitti,25,1,1,121842,0.009785,0.602
kitti,25,5,1,121842,0.0094118,0.85355
kitti,25,20,1,121842,0.0099973,1.90725
kitti,10,1,1,123107,0.0126858,0.8636
kitti,10,5,1,123107,0.0119745,1.1727
kitti,10,20,1,123107,0.0115193,2.39845
kitti,25,1,1,123107,0.0092502,0.6299
kitti,25,5,1,123107,0.0095245,0.8818
kitti,25,20,1,123107,0.0094268,1.86575
kitti,10,1,1,123940,0.0113149,0.7408
kitti,10,5,1,123940,0.0119521,0.9787
kitti,10,20,1,123940,0.0117438,1.94585
kitti,25,1,1,123940,0.0095542,0.63705
kitti,25,5,1,123940,0.009315,0.8628
kitti,25,20,1,123940,0.0098751,1.77395
kitti,10,1,1,124301,0.0131488,0.59595
kitti,10,5,1,124301,0.0114465,0.9697
kitti,10,20,1,124301,0.0114058,1.89415
kitti,25,1,1,124301,0.0094242,0.52055
kitti,25,5,1,124301,0.0094452,0.82535
kitti,25,20,1,124301,0.0095234,1.93705
kitti,10,1,1,124553,0.0118559,0.6282
kitti,10,5,1,124553,0.0114719,0.86825
kitti,10,20,1,124553,0.0119666,1.8897
kitti,25,1,1,124553,0.0095868,0.5801
kitti,25,5,1,124553,0.0095951,0.87195
kitti,25,20,1,124553,0.0095397,1.9767
kitti,10,1,1,124656,0.0119755,0.5863
kitti,10,5,1,124656,0.0116025,0.9693
kitti,10,20,1,124656,0.0115976,1.95765
kitti,25,1,1,124656,0.0096665,0.59445
kitti,25,5,1,124656,0.0098783,0.9253
kitti,25,20,1,124656,0.009884,1.8506
kitti,10,1,1,124644,0.0118286,0.5963
kitti,10,5,1,124644,0.0116938,0.91475
kitti,10,20,1,124644,0.0116734,1.98385
kitti,25,1,1,124644,0.0095568,0.53395
kitti,25,5,1,124644,0.0096169,0.8298
kitti,25,20,1,124644,0.0098224,1.72445
kitti,10,1,1,124526,0.0116797,0.58495
kitti,10,5,1,124526,0.0122467,1.00585
kitti,10,20,1,124526,0.0114464,1.96135
kitti,25,1,1,124526,0.0094071,0.52035
kitti,25,5,1,124526,0.0097312,1.0161
kitti,25,20,1,124526,0.0097955,1.92945
kitti,10,1,1,124520,0.0115134,0.7338
kitti,10,5,1,124520,0.0117073,1.00025
kitti,10,20,1,124520,0.0114075,1.8869
kitti,25,1,1,124520,0.0094367,0.54955
kitti,25,5,1,124520,0.0101649,0.99145
kitti,25,20,1,124520,0.0092637,1.8661
kitti,10,1,1,124600,0.0115584,0.74545
kitti,10,5,1,124600,0.0113288,0.92125
kitti,10,20,1,124600,0.0113019,2.0051
kitti,25,1,1,124600,0.0092715,0.53655
kitti,25,5,1,124600,0.0093844,0.8776
kitti,25,20,1,124600,0.009367,1.85975
kitti,10,1,1,124550,0.0114976,0.6615
kitti,10,5,1,124550,0.0119952,1.2066
kitti,10,20,1,124550,0.0121083,2.1166
kitti,25,1,1,124550,0.0094216,0.58315
kitti,25,5,1,124550,0.0094455,0.9623
kitti,25,20,1,124550,0.0093307,1.81355
kitti,10,1,1,124242,0.0115536,0.70575
kitti,10,5,1,124242,0.0120681,1.04155
kitti,10,20,1,124242,0.0114776,2.17855
kitti,25,1,1,124242,0.0093219,0.6397
kitti,25,5,1,124242,0.0095122,0.9664
kitti,25,20,1,124242,0.0093477,1.94025
