source,leaf_max_size,k,threads,n_points,build_s,query_us
kitti,10,1,1,124605,0.0098923,0.52605
kitti,10,5,1,124605,0.0098949,0.8777
kitti,10,20,1,124605,0.0098098,1.76205
kitti,25,1,1,124605,0.0081693,0.4583
kitti,25,5,1,124605,0.0112382,1.2192
kitti,25,20,1,124605,0.0110472,2.39085
kitti,10,1,1,124478,0.0125329,0.56305
kitti,10,5,1,124478,0.0098337,0.8817
kitti,10,20,1,124478,0.0098772,1.787
kitti,25,1,1,124478,0.0081966,0.4578
kitti,25,5,1,124478,0.0081153,0.7262
kitti,25,20,1,124478,0.0081973,1.5894
kitti,10,1,1,124167,0.0099555,0.551
kitti,10,5,1,124167,0.0101107,0.85585
kitti,10,20,1,124167,0.0099961,1.79975
kitti,25,1,1,124167,0.0082035,0.4897
kitti,25,5,1,124167,0.0081112,0.7651
kitti,25,20,1,124167,0.008178,1.6474
kitti,10,1,1,123969,0.0098632,0.5753
kitti,10,5,1,123969,0.0099509,0.8468
kitti,10,20,1,123969,0.0100608,1.7773
kitti,25,1,1,123969,0.0081156,0.4543
kitti,25,5,1,123969,0.0081532,0.83745
kitti,25,20,1,123969,0.0083368,1.7506
kitti,10,1,1,123924,0.0098788,0.56495
kitti,10,5,1,123924,0.0097313,0.78665
kitti,10,20,1,123924,0.0098354,1.8365
kitti,25,1,1,123924,0.008178,0.46555
kitti,25,5,1,123924,0.0080959,0.7649
kitti,25,20,1,123924,0.0081586,1.61865
kitti,10,1,1,123373,0.0095804,0.5265
kitti,10,5,1,123373,0.0097216,1.0299
kitti,10,20,1,123373,0.0098355,1.791
kitti,25,1,1,123373,0.0081554,0.5371
kitti,25,5,1,123373,0.0083527,0.82395
kitti,25,20,1,123373,0.0082829,1.67595
kitti,10,1,1,122765,0.0096701,0.5426
kitti,10,5,1,122765,0.009953,0.85835
kitti,10,20,1,122765,0.0095907,1.7654
kitti,25,1,1,122765,0.0079636,0.53805
kitti,25,5,1,122765,0.0081829,0.75905
kitti,25,20,1,122765,0.0079146,1.73975
kitti,10,1,1,122123,0.0096678,0.5286
kitti,10,5,1,122123,0.0097214,0.8735
kitti,10,20,1,122123,0.0095198,1.7994
kitti,25,1,1,122123,0.0079164,0.4763
kitti,25,5,1,122123,0.0079637,0.86075
kitti,25,20,1,122123,0.0078634,1.6557
kitti,10,1,1,121357,0.0098927,0.5622
kitti,10,5,1,121357,0.0128615,1.0071
kitti,10,20,1,121357,0.009451,1.8087
kitti,25,1,1,121357,0.0080188,0.50275
kitti,25,5,1,121357,0.0079124,0.96335
kitti,25,20,1,121357,0.0089626,2.39305
kitti,10,1,1,121018,0.0128012,0.62725
kitti,10,5,1,121018,0.0095078,0.86
kitti,10,20,1,121018,0.0094892,1.8302
kitti,25,1,1,121018,0.0081067,0.5515
kitti,25,5,1,121018,0.0078589,0.816
kitti,25,20,1,121018,0.0078392,1.6447
kitti,10,1,1,120945,0.0096407,0.60305
kitti,10,5,1,120945,0.0098857,0.85625
kitti,10,20,1,120945,0.0096758,1.994
kitti,25,1,1,120945,0.007904,0.4845
kitti,25,5,1,120945,0.008015,0.78375
kitti,25,20,1,120945,0.0079526,1.6163
kitti,10,1,1,120503,0.0096314,0.5342
kitti,10,5,1,120503,0.009611,0.78525
kitti,10,20,1,120503,0.0095464,1.7861
kitti,25,1,1,120503,0.0080882,0.4499
kitti,25,5,1,120503,0.0078339,0.74505
kitti,25,20,1,120503,0.008,1.5933
kitti,10,1,1,120295,0.0098331,0.6409
kitti,10,5,1,120295,0.0095736,0.8581
kitti,10,20,1,120295,0.0095639,1.80015
kitti,25,1,1,120295,0.0079777,0.4661
kitti,25,5,1,120295,0.0078141,0.78085
kitti,25,20,1,120295,0.0080269,1.7065
kitti,10,1,1,120406,0.0099963,0.52095
kitti,10,5,1,120406,0.0097645,0.7836
kitti,10,20,1,120406,0.0097934,1.98575
kitti,25,1,1,120406,0.0081786,0.50845
kitti,25,5,1,120406,0.0090817,1.1184
kitti,25,20,1,120406,0.0101544,1.6481
kitti,10,1,1,121023,0.0100336,0.60725
kitti,10,5,1,121023,0.009986,0.817
kitti,10,20,1,121023,0.0108473,1.8651
kitti,25,1,1,121023,0.0083753,0.52025
kitti,25,5,1,121023,0.0083482,0.786
kitti,25,20,1,121023,0.0081202,1.66915
kitti,10,1,1,121842,0.0097963,0.75595
kitti,10,5,1,121842,0.0101847,0.9037
kitti,10,20,1,121842,0.0100556,1.98465
kitti,25,1,1,121842,0.0082955,0.57725
kitti,25,5,1,121842,0.0081774,0.8277
kitti,25,20,1,121842,0.0084283,1.73335
kitti,10,1,1,123107,0.0103947,0.97065
kitti,10,5,1,123107,0.0100924,0.86355
kitti,10,20,1,123107,0.0099425,1.7993
kitti,25,1,1,123107,0.0083702,0.5534
